recording,subject,n_drop,trial,method,temporal_r,rmse_uv,sdr_db,n_good
G001Day2Rest2.cnt,G001,8,1,nearest,0.4961,65.961,0.075,54
G001Day2Rest2.cnt,G001,8,1,linear,0.9908,2.854,27.351,54
G001Day2Rest2.cnt,G001,8,1,spline,-0.601,87.631,-2.392,54
G001Day2Rest2.cnt,G001,8,2,nearest,0.5222,41.581,3.097,54
G001Day2Rest2.cnt,G001,8,2,linear,0.9961,2.798,26.538,54
G001Day2Rest2.cnt,G001,8,2,spline,0.9916,29.402,6.107,54
G001Day2Rest2.cnt,G001,16,1,nearest,0.3453,75.962,-1.85,46
G001Day2Rest2.cnt,G001,16,1,linear,0.9751,3.477,24.939,46
G001Day2Rest2.cnt,G001,16,1,spline,0.4019,63.412,-0.281,46
G001Day2Rest2.cnt,G001,16,2,nearest,0.3934,89.54,-3.857,46
G001Day2Rest2.cnt,G001,16,2,linear,0.9723,6.205,19.329,46
G001Day2Rest2.cnt,G001,16,2,spline,0.2132,88.612,-3.767,46
G001Day2Rest2.cnt,G001,24,1,nearest,0.3515,62.514,0.336,38
G001Day2Rest2.cnt,G001,24,1,linear,0.9823,3.891,24.454,38
G001Day2Rest2.cnt,G001,24,1,spline,0.5976,135.504,-6.383,38
G001Day2Rest2.cnt,G001,24,2,nearest,0.3423,71.65,-2.173,38
G001Day2Rest2.cnt,G001,24,2,linear,0.9809,4.542,21.786,38
G001Day2Rest2.cnt,G001,24,2,spline,0.1116,220.177,-11.924,38
G001Day2Rest2.cnt,G001,32,1,nearest,0.0986,70.167,-0.53,30
G001Day2Rest2.cnt,G001,32,1,linear,0.9766,4.517,23.295,30
G001Day2Rest2.cnt,G001,32,1,spline,0.3379,103.395,-3.897,30
G001Day2Rest2.cnt,G001,32,2,nearest,0.2548,70.661,-0.752,30
G001Day2Rest2.cnt,G001,32,2,linear,0.9808,4.926,22.381,30
G001Day2Rest2.cnt,G001,32,2,spline,0.2706,117.169,-5.145,30
G001Day2Rest2.cnt,G001,40,1,nearest,0.3411,74.621,-0.306,22
G001Day2Rest2.cnt,G001,40,1,linear,0.9825,4.594,23.907,22
G001Day2Rest2.cnt,G001,40,1,spline,0.3711,80.176,-0.929,22
G001Day2Rest2.cnt,G001,40,2,nearest,0.2052,71.524,-1.945,22
G001Day2Rest2.cnt,G001,40,2,linear,0.95,4.73,21.647,22
G001Day2Rest2.cnt,G001,40,2,spline,0.1975,282.858,-13.888,22
G001Day2Rest2.cnt,G001,48,1,nearest,0.0821,86.534,-1.282,14
G001Day2Rest2.cnt,G001,48,1,linear,0.9562,6.055,21.819,14
G001Day2Rest2.cnt,G001,48,1,spline,0.4166,202.143,-8.652,14
G001Day2Rest2.cnt,G001,48,2,nearest,-0.0426,76.932,-2.142,14
G001Day2Rest2.cnt,G001,48,2,linear,0.9682,5.718,20.435,14
G001Day2Rest2.cnt,G001,48,2,spline,-0.2316,259.015,-12.687,14
G001Day3Rest1.cnt,G001,8,1,nearest,0.8416,69.138,5.731,54
G001Day3Rest1.cnt,G001,8,1,linear,0.9708,6.944,25.693,54
G001Day3Rest1.cnt,G001,8,1,spline,0.7819,76.064,4.902,54
G001Day3Rest1.cnt,G001,8,2,nearest,0.7489,71.701,3.791,54
G001Day3Rest1.cnt,G001,8,2,linear,0.9929,4.315,28.2,54
G001Day3Rest1.cnt,G001,8,2,spline,0.7498,81.105,2.72,54
G001Day3Rest1.cnt,G001,16,1,nearest,0.1336,121.115,-4.228,46
G001Day3Rest1.cnt,G001,16,1,linear,0.9405,6.629,21.008,46
G001Day3Rest1.cnt,G001,16,1,spline,0.4972,188.948,-8.09,46
G001Day3Rest1.cnt,G001,16,2,nearest,0.1433,111.994,-0.702,46
G001Day3Rest1.cnt,G001,16,2,linear,0.9895,4.715,26.813,46
G001Day3Rest1.cnt,G001,16,2,spline,-0.0937,110.564,-0.59,46
G001Day3Rest1.cnt,G001,24,1,nearest,0.3162,79.386,1.503,38
G001Day3Rest1.cnt,G001,24,1,linear,0.9709,4.621,26.203,38
G001Day3Rest1.cnt,G001,24,1,spline,0.305,104.012,-0.844,38
G001Day3Rest1.cnt,G001,24,2,nearest,0.6703,89.27,0.607,38
G001Day3Rest1.cnt,G001,24,2,linear,0.979,5.269,25.186,38
G001Day3Rest1.cnt,G001,24,2,spline,0.7589,169.795,-4.978,38
G001Day3Rest1.cnt,G001,32,1,nearest,0.1949,98.519,-0.881,30
G001Day3Rest1.cnt,G001,32,1,linear,0.9751,5.417,24.314,30
G001Day3Rest1.cnt,G001,32,1,spline,-0.1221,104.064,-1.357,30
G001Day3Rest1.cnt,G001,32,2,nearest,0.01,130.917,-1.99,30
G001Day3Rest1.cnt,G001,32,2,linear,0.99,4.96,26.441,30
G001Day3Rest1.cnt,G001,32,2,spline,0.4312,100.493,0.307,30
G001Day3Rest1.cnt,G001,40,1,nearest,0.3214,110.469,-0.183,22
G001Day3Rest1.cnt,G001,40,1,linear,0.9945,5.917,25.239,22
G001Day3Rest1.cnt,G001,40,1,spline,0.5475,92.365,1.372,22
G001Day3Rest1.cnt,G001,40,2,nearest,-0.0428,132.208,-2.265,22
G001Day3Rest1.cnt,G001,40,2,linear,0.9425,6.7,23.638,22
G001Day3Rest1.cnt,G001,40,2,spline,0.2487,283.319,-8.886,22
G001Day3Rest1.cnt,G001,48,1,nearest,-0.0183,138.202,-1.167,14
G001Day3Rest1.cnt,G001,48,1,linear,0.9714,6.56,25.306,14
