recording,subject,n_drop,pattern,trial,method,temporal_r,rmse_uv,sdr_db
G001Day2Rest1.cnt,G001,8,contiguous,2,spline,-0.3013,391.891,-3.636
G001Day2Rest1.cnt,G001,16,scattered,1,nearest,-0.0439,370.98,-3.06
G001Day2Rest1.cnt,G001,16,scattered,1,linear,0.99,5.594,33.372
G001Day2Rest1.cnt,G001,16,scattered,1,spline,0.1313,271.721,-0.355
G001Day2Rest1.cnt,G001,16,scattered,2,nearest,0.0896,378.062,-2.867
G001Day2Rest1.cnt,G001,16,scattered,2,linear,0.9536,6.948,31.847
G001Day2Rest1.cnt,G001,16,scattered,2,spline,-0.2836,330.102,-1.689
G001Day2Rest1.cnt,G001,16,contiguous,1,nearest,-0.1661,277.228,-2.727
G001Day2Rest1.cnt,G001,16,contiguous,1,linear,0.9985,6.632,29.698
G001Day2Rest1.cnt,G001,16,contiguous,1,spline,-0.3671,355.536,-4.888
G001Day2Rest1.cnt,G001,16,contiguous,2,nearest,-0.2015,351.63,-3.131
G001Day2Rest1.cnt,G001,16,contiguous,2,linear,0.9972,6.195,31.95
G001Day2Rest1.cnt,G001,16,contiguous,2,spline,0.2616,340.168,-2.844
G001Day2Rest2.cnt,G001,2,scattered,1,nearest,0.998,41.288,4.424
G001Day2Rest2.cnt,G001,2,scattered,1,linear,0.9994,2.017,30.644
G001Day2Rest2.cnt,G001,2,scattered,1,spline,0.9994,29.331,7.394
G001Day2Rest2.cnt,G001,2,scattered,2,nearest,0.9915,53.904,-7.178
G001Day2Rest2.cnt,G001,2,scattered,2,linear,0.9911,2.368,19.969
G001Day2Rest2.cnt,G001,2,scattered,2,spline,-0.3513,29.73,-2.009
G001Day2Rest2.cnt,G001,2,contiguous,1,nearest,-0.9,88.112,-5.198
G001Day2Rest2.cnt,G001,2,contiguous,1,linear,0.9778,7.998,15.643
G001Day2Rest2.cnt,G001,2,contiguous,1,spline,-0.5761,63.531,-2.357
G001Day2Rest2.cnt,G001,2,contiguous,2,nearest,0.9991,19.1,7.221
G001Day2Rest2.cnt,G001,2,contiguous,2,linear,0.9986,2.012,26.771
G001Day2Rest2.cnt,G001,2,contiguous,2,spline,0.9997,12.064,11.212
G001Day2Rest2.cnt,G001,8,scattered,1,nearest,0.8967,44.212,3.648
G001Day2Rest2.cnt,G001,8,scattered,1,linear,0.9959,2.814,27.573
G001Day2Rest2.cnt,G001,8,scattered,1,spline,0.1851,63.991,0.436
G001Day2Rest2.cnt,G001,8,scattered,2,nearest,0.5935,60.032,-1.087
G001Day2Rest2.cnt,G001,8,scattered,2,linear,0.9949,3.61,23.33
G001Day2Rest2.cnt,G001,8,scattered,2,spline,0.5016,46.86,1.065
G001Day2Rest2.cnt,G001,8,contiguous,1,nearest,0.4961,65.961,0.075
G001Day2Rest2.cnt,G001,8,contiguous,1,linear,0.9908,2.854,27.351
G001Day2Rest2.cnt,G001,8,contiguous,1,spline,-0.601,87.631,-2.392
G001Day2Rest2.cnt,G001,8,contiguous,2,nearest,0.5222,41.581,3.097
G001Day2Rest2.cnt,G001,8,contiguous,2,linear,0.9961,2.798,26.538
G001Day2Rest2.cnt,G001,8,contiguous,2,spline,0.9916,29.402,6.107
G001Day2Rest2.cnt,G001,16,scattered,1,nearest,-0.0881,97.349,-3.14
G001Day2Rest2.cnt,G001,16,scattered,1,linear,0.9841,5.551,21.74
G001Day2Rest2.cnt,G001,16,scattered,1,spline,0.0084,95.195,-2.945
G001Day2Rest2.cnt,G001,16,scattered,2,nearest,-0.28,82.301,-2.672
G001Day2Rest2.cnt,G001,16,scattered,2,linear,0.988,4.263,23.042
G001Day2Rest2.cnt,G001,16,scattered,2,spline,0.0349,63.056,-0.358
G001Day2Rest2.cnt,G001,16,contiguous,1,nearest,0.3453,75.962,-1.85
G001Day2Rest2.cnt,G001,16,contiguous,1,linear,0.9751,3.477,24.939
G001Day2Rest2.cnt,G001,16,contiguous,1,spline,0.4019,63.412,-0.281
G001Day2Rest2.cnt,G001,16,contiguous,2,nearest,0.3934,89.54,-3.857
G001Day2Rest2.cnt,G001,16,contiguous,2,linear,0.9723,6.205,19.329
G001Day2Rest2.cnt,G001,16,contiguous,2,spline,0.2132,88.612,-3.767
G001Day3Rest1.cnt,G001,2,scattered,1,nearest,0.0,173.149,-1.912
G001Day3Rest1.cnt,G001,2,scattered,1,linear,0.9999,2.304,35.607
